1. 生活注意：患者应该在生活各方面注意控制血压、血脂、血糖。饮食方面尤其应该注意不偏食，不挑食，而且要吃盐量少的东西，可以多吃蔬菜，多吃水 果和蛋白质含量高的食物。适当补充维生素B1、C、E，钙剂等。<br/>2. 加强体育锻炼：加强锻炼，提高身体体质，同时要注意运动量，不要做运动量过大的活动，避免血压升高，多做可以控制血压的运动，例如运动、太极拳等，运动后以不发生头晕、心慌气短，不是非常疲劳为度。运动后可以测一下心率，有一个简单的估计方法：170-年龄=最大运动心率。<br/>3.平常保持平和的心态，不要轻易生气，情绪波动过大。<br/>4.注意休息。	______	1. Tips in the daily life: Patients should pay attention to controlling blood pressure, blood lipids and blood sugar in all aspects of life. In terms of diet, you should especially pay attention not to be partial or picky, but also to eat something with less salt, more vegetables, more fruits and foods with high protein content. Appropriate supplement of vitamin B1, C, E, calcium and so on. <br/>2. Strengthen physical exercise: strengthen exercise to improve physical fitness, at the same time, pay attention to the amount of exercise, do not do excessive exercise activities, avoid high blood pressure, and do more exercises that can control blood pressure, such as exercise, Taijiquan, etc., After exercising, the degree of dizziness, palpitation, shortness of breath, and not very fatigue should be avoided. You can measure your heart rate after exercising. There is a simple estimation method: 170-age = maximum exercise heart rate. <br/>3. Usually keep a peaceful mind, don't get angry easily, and the mood swings too much. <br/>4. Pay attention to rest.
1.黄斑正常，<br/>视力尚好者定期复查。<br/>2.部分情况会合并视网膜脱离，避免剧烈运动	______	1. Those with normal macula and <br/>good eyesight have regular reexamination. <br/>2. Retinal detachment may be combined in some cases, avoid strenuous exercise.
1.治疗原发病。<br/>2.适度用眼。<br/>3.定期复查	______	1. Treat the primary disease. <br/>2. Use your eyes moderately. <br/>3. Regular review.
1.跟踪随访、定期复查	______	1. Follow-up and regular review
1.进一步检查，明确诊断; 2.每半年复查一次眼底	______	1. Further examination to confirm the diagnosis; 2. Re-examination of the fundus every six months
1.进一步检查，明确诊断。<br/>2.每半年复查一次眼底	______	1. Further examination to confirm the diagnosis; 2. Re-examination of the fundus every six months
1.进一步检查，明确诊断。<br/>2.每半年复查一次眼底。	______	1. Further examination to confirm the diagnosis; 2. Re-examination of the fundus every six months
1.进一步检查，并定期复查<br/>2.避免暗中看光亮物体，手机等<br/>3. 一定避免情绪激动，焦虑，着急上火，这些因素都会使交感神经兴奋，刺激瞳孔（黑眼仁变大)，诱发青光眼急性发作。<br/>4.短时间内饮水量过大会使眼压增高，可以饮水，但缓慢喝水，避免一次摄入过多<br/>5.戒烟限酒<br/>6.慎带墨镜<br/>7.尽量避免俯卧位姿势以及趴着午睡等，易使眼压增高<br/>8. 青光眼的人平时可能会有眼胀，眼酸，怕光，急性发作的表现是眼红，眼痛，眼胀，头痛，恶心，呕吐，虹视（看灯周围有彩色的光圈），雾视（看东西像隔着雾一样），但是不是每个人发作都那么典型，所有的表现都出现。所以一旦出现上述情况中的一条或几条，需要引起重视。 <br/>9. 学会指测眼压，正常眼球的硬度跟鼻子尖软硬程度差不多，如果眼压高了就跟额头差不多，如果眼压低了就跟下巴差不多。每次去医院测完眼压，医生告诉你多少，你就摸摸自己眼球感觉一下这个眼压对应的眼球硬度是多少。眼睛不舒服的时候你就摸一下眼压，看是不是眼压高了。 <br/>10. 青光眼多数具有遗传性，应全家进行检查	______	1. Further inspection and regular review.<br/>2. Avoid looking at bright objects, mobile phones, etc. in the dark.<br/>3. Be sure to avoid emotional agitation, anxiety, and anger, these factors will excite the sympathetic nerve and stimulate the pupil ( The black-eyed kernel becomes larger), which induces an acute attack of glaucoma. <br/>4. Drinking too much water in a short period of time will increase the intraocular pressure. You can drink water, but drink water slowly to avoid taking too much at one time.<br/>5. Quit smoking and limit alcohol.<br/>6. Wear sunglasses with caution. <br/>7. Try to avoid prone position and nap on the stomach, which can easily increase intraocular pressure.<br/>8. People with glaucoma may have eye swelling, sore eyes, and photophobia. The manifestation of acute attack is eye redness, eye pain, swollen eyes, headache, nausea, vomiting, rainbow vision (seeing a colored circle around the light), haze (seeing things as if through fog), but not everyone is so typical, all manifestations are appear. Therefore, once one or several of the above situations occur, attention should be paid. <br/>9. Learn to measure intraocular pressure. The hardness of the normal eyeball is similar to that of the tip of the nose. If the intraocular pressure is high, it is similar to the forehead. If the intraocular pressure is low, it is similar to the chin. Every time you go to the hospital to measure the intraocular pressure, the doctor will tell you how much, you can touch your eyeball to feel the hardness of the eyeball corresponding to the intraocular pressure. When your eyes are uncomfortable, you can touch the intraocular pressure to see if the intraocular pressure is high. <br/>10. Glaucoma is mostly hereditary, and the whole family should be checked
1.建议每三月复查一次眼底<br/>2.合理饮食：控制总热量、适度摄入碳水化合物、减少脂肪摄入、供应充足的蛋白质、食用富含食物纤维的食品、补充维生素等<br/>3.控制高血压高血脂等全身病<br/>4.积极有效的控制糖尿病，要使空腹和餐后血糖均接近正常水平，使糖化血红蛋白控制在7%以下是防治糖尿病糖尿病视网膜病变的基本措施，血糖控制的优劣，关系到视网膜病变的轻重<br/>5.BMI指数控制在正常范围内（18~24）,BMI=体重（kg）/ 身高的平方（㎡）<br/>6.糖尿病为终身性疾病，如发现合并眼病，会出现焦虑、恐惧心理，不利于治疗。家人要做好心理指导<br/>7.吸烟可导致血管痉挛，引起血液循环不良，饮酒可使血管扩张，更易引起眼底出血，病人应戒烟戒酒<br/>8.日常生活中注意眼部保健及眼部清洁，平时可使用按摩的方法进行眼部保健	______	1. It is recommended to review the fundus every three months. 2. Reasonable diet: control total calories, moderate carbohydrate intake, reduce fat intake, supply sufficient protein, eat foods rich in dietary fiber, and supplement vitamins, etc.< 3. Control systemic diseases such as hypertension and hyperlipidemia.<br/> 4. Actively and effectively control diabetes, make fasting and postprandial blood sugar close to normal levels, and control glycated hemoglobin below 7% to prevent and treat diabetic retina. The basic measures of the disease and the quality of blood sugar control are related to the severity of retinopathy.<br/>5. The BMI index should be controlled within the normal range (18~24), BMI=weight (kg)÷height^2(m).<br/>6. Diabetes mellitus is a lifelong disease. If it is found that it is complicated by eye disease, anxiety and fear will appear, which is not conducive to treatment. Family members should provide psychological guidance.<br/>7. Smoking can cause vasospasm and cause poor blood circulation. Drinking alcohol can dilate blood vessels, which is more likely to cause fundus bleeding. Patients should quit smoking and drinking.<br/>8. Pay attention to the eyes in daily life. Eye care and eye cleaning, usually use massage method for eye care
1.遗传性病变，尚无有效疗法。<br/>2.定期复查	______	1. Hereditary disease, there is no effective treatment. <br/>2. Regular review.
1.高血压、糖尿病、血液粘稠度上升、原发性青光眼都是视网膜静脉阻塞的危险因素，注意控制以上疾病的发生与发展<br/>2. 倡导健康的饮食及生活方式，保证充足的睡眠，不熬夜，少食高脂食物，规律控制血压、血糖，不吸烟、少喝酒。 <br/>3.静脉阻塞，眼部已有多处出血，减少运动，避免病情加重<br/>4. 让眼部充分休息：尽可能让眼部间歇性的休息，以及望向至少6米以外的事物<br/>5.定期复查	______	1. Hypertension, diabetes, increased blood viscosity, and primary glaucoma are all risk factors for retinal vein occlusion. Pay attention to control the occurrence and development of the above diseases. 2. Advocate a healthy diet and lifestyle to ensure adequate sleep well, don’t stay up late, eat less high-fat food, control blood pressure and blood sugar regularly, don’t smoke, and drink less alcohol. <br/>3. The veins are blocked, there are multiple bleeding in the eye, reduce exercise, avoid the aggravation of the disease.<br/>4. Let the eyes rest adequately: let the eyes rest intermittently as much as possible, and look at least 6 Things other than rice<br/>5. Regular review
1.合理饮食：控制总热量、适度摄入碳水化合物、减少脂肪摄入、供应充足的蛋白质、食用富含食物纤维的食品、补充维生素等。<br/>2.积极控制糖尿病、高血压及高血脂等全身病。<br/>3.建议每三月复查一次眼底。	______	1. Reasonable diet: control total calories, moderate carbohydrate intake, reduce fat intake, supply sufficient protein, eat foods rich in dietary fiber, and supplement vitamins. <br/>2. Actively control systemic diseases such as diabetes, hypertension and hyperlipidemia. <br/>3. It is recommended to review the fundus every three months.
