健康建议 ______ 健康建議
饮食 ______ 飲食
控制盐的食用。高盐摄入人群的高血压患病风险是低盐摄入人群的1.75倍。国人平均每日食盐摄入为10克，需要降至6克。 ______ 控製鹽的食用。高鹽攝入人群的高血壓患病風險是低鹽攝入人群的1.75倍。國人平均每日食鹽攝入為10克，需要降至6克。
控制高动物性脂肪、高胆固醇的食物如肥肉、猪油、动物内脏等，尽可能使用植物油，食物以素食及豆制品为主，蛋白质的补充可食用瘦肉、鱼肉和蛋类。 ______ 控制高動物性脂肪、高膽固醇的食物如肥肉、豬油、動物內臟等，盡可能使用植物油，食物以素食及豆製品為主，蛋白質的補充可食用瘦肉、魚肉和蛋類。
运动 ______ 運動
每周中等强度锻炼150分钟或高强度锻炼75分钟，才算身体活动达标。 ______ 每周中等強度鍛煉150分鐘或高強度鍛煉75分鐘，才算身體活動達標。
最佳运动时间是指进行体育运动的最佳时间，早晨运动时间为早餐前。高强度运动可在饭后两小时进行;中度运动应该安排在饭后一小时进行。 ______ 最佳運動時間是指進行體育運動，於，早晨運動時間為早餐前。高強度運動可在飯後兩小時進行;中度運動應該安排在飯後一小時進行。
生活 ______ 生活
不要吸烟，也要避免暴露于二手烟的环境中。吸烟和二手烟暴露会增加高血压、脑卒中死亡风险，同时也会大大增加患黄斑病变的风险。 ______ 不要吸煙，也要避免暴露於二手煙的環境中。吸煙和二手煙暴露會增加高血壓、腦卒中死亡風險，同時也會大大增加患黃斑病變的風險。
控制体重，同时也要注意控制腰围。腰围过大，会增加糖尿病的风险。 ______ 控制體重，同時也要注意控制腰圍。腰圍過大，會增加糖尿病的風險。
减少久坐时间，持续的坐姿会导致肥胖、增加心血管疾病和癌症患病风险。 ______ 減少久坐時間，持續的坐姿會導致肥胖、增加心血管疾病和癌症患病風險。
护眼 ______ 護眼
使用电子书阅读器代替手机看电子书，减少蓝光损害。每用眼1小时，让眼放松10分钟。 ______ 使用電子書閱讀器代替手機看電子書，減少藍光損害。可考慮使用藍光眼鏡。每次閱讀一小時，讓眼放鬆10分鐘。
不要在黑暗中看手机和电脑。 ______ 不要在黑暗中看手機和電腦。
应该严格控制糖的摄入，多摄入低GI的食物如蔬菜、豆类等。 ______ 應該嚴格控製糖的攝入，多攝入低GI的食物如蔬菜、豆類等。
建议富钾低钠饮食，多吃富含膳食纤维的谷物、如燕麦、玉米等。 ______ 建議富鉀低鈉飲食，多吃富含膳食纖維的穀物、如燕麥、玉米等。
控制胆固醇和饱和脂肪酸的摄入，减少动物脂肪摄入比例，增加植物性饮食。 ______ 控制膽固醇和飽和脂肪酸的攝入，減少動物脂肪攝入比例，增加植物性飲食。
增加富含铁、叶酸和维生素B12食物的摄入，如菠菜、芝麻等。 ______ 增加富含鐵、葉酸和維生素B12食物的攝入，如菠菜、芝麻等。
增加优质蛋白质和植物蛋白质（如大豆、藜麦等）的摄入比例，比例超过蛋白质摄入量的三分之一。 ______ 增加優質蛋白質和植物蛋白質（如大豆、藜麥等）的攝入比例，比例超過蛋白質攝入量的三分之一。
